localTime,channel,episodeTitle,episodeStartTime,episodeDescription,trackTitle,artistString,gender,hosts
2025-10-29 06:22:50+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,Hurts Like A Mother,Selina Gin,,
2025-10-29 06:25:33+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,Kids,MGMT,other,
2025-10-29 06:29:13+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,E45,Dork,other,
2025-10-29 06:32:52+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,Perfect Day,Lou Reed,male,
2025-10-29 06:36:24+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,Lost In The Woods,The Floor Is Made Of Lava,other,
2025-10-29 06:40:03+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,The Sofa,Wolf Alice,other,
2025-10-29 06:44:20+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,Parklife,"Blur, Phil Daniels",other,
2025-10-29 06:47:21+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,Coyote,Gorgeous,other,
2025-10-29 06:50:26+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,Diana/Polina,Spawner,other,
2025-10-29 06:53:50+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,Det skinnende,"Fribytterdrømme, Lydmor",other,
